Yıl,İl,Toplam,Erkek,Kadın
2021,Siirt,331980,168881,163099
2021,Sinop,218408,108472,109936
2021,Sivas,636121,318954,317167
2021,Şanlıurfa,2143020,1079015,1064005
2021,Şırnak,546589,283527,263062
2021,Tekirdağ,1113400,570355,543045
2021,Tokat,602567,299357,303210
2021,Trabzon,816684,405047,411637
2021,Tunceli,83645,44423,39222
2021,Uşak,373183,185891,187292
2021,Van,1141015,581945,559070
2021,Yalova,291001,145740,145261
2021,Yozgat,418500,208646,209854
2021,Zonguldak,589684,291822,297862
2020,Adana,2258718,1127516,1131202
2020,Adıyaman,632459,318755,313704
2020,Afyonkarahisar,736912,367399,369513
2020,Ağrı,535435,276800,258635
2020,Aksaray,423011,211232,211779
2020,Amasya,335494,167624,167870
2020,Ankara,5663322,2805877,2857445
2020,Antalya,2548308,1281943,1266365
2020,Ardahan,96161,49811,46350
2020,Artvin,169501,85523,83978
2020,Aydın,1119084,557066,562018
2020,Balıkesir,1240285,619765,620520
2020,Bartın,198979,98451,100528
2020,Batman,620278,312137,308141
2020,Bayburt,81910,42002,39908
2020,Bilecik,218717,111190,107527
2020,Bingöl,281768,142670,139098
2020,Bitlis,350994,180982,170012
2020,Bolu,314802,156340,158462
2020,Burdur,267092,134124,132968
2020,Bursa,3101833,1550767,1551066
2020,Çanakkale,541548,271456,270092
2020,Çankırı,192428,97065,95363
2020,Çorum,530126,262590,267536
2020,Denizli,1040915,518742,522173
2020,Diyarbakır,1783431,899516,883915
2020,Düzce,395679,198032,197647
2020,Edirne,407763,205775,201988
2020,Elazığ,587960,291461,296499
2020,Erzincan,234431,119325,115106
2020,Erzurum,758279,378661,379618
2020,Eskişehir,888828,443227,445601
2020,Gaziantep,2101157,1060820,1040337
2020,Giresun,448721,223738,224983
2020,Gümüşhane,141702,71943,69759
2020,Hakkari,280514,148967,131547
2020,Hatay,1659320,833146,826174
2020,Iğdır,201314,103059,98255
2020,Isparta,440304,218526,221778
2020,İstanbul,15462452,7750836,7711616
2020,İzmir,4394694,2187226,2207468
2020,Kahramanmaraş,1168163,592920,575243
2020,Karabük,243614,121875,121739
2020,Karaman,254919,127829,127090
2020,Kars,284923,147150,137773
2020,Kastamonu,376377,187264,189113
2020,Kayseri,1421455,712710,708745
2020,Kırıkkale,278703,139281,139422
2020,Kırklareli,361737,184250,177487
2020,Kırşehir,243042,119725,123317
2020,Kilis,142792,72652,70140
2020,Kocaeli,1997258,1009533,987725
2020,Konya,2250020,1118850,1131170
2020,Kütahya,576688,284575,292113
2020,Malatya,806156,401610,404546
2020,Manisa,1450616,728724,721892
2020,Mardin,854716,428780,425936
2020,Mersin,1868757,933368,935389
2020,Muğla,1000773,508504,492269
2020,Muş,411117,209647,201470
2020,Nevşehir,304962,151134,153828
2020,Niğde,362071,181692,180379
2020,Ordu,761400,380031,381369
2020,Osmaniye,548556,276776,271780
2020,Rize,344359,172469,171890
2020,Sakarya,1042649,522388,520261
2020,Samsun,1356079,670675,685404
2020,Siirt,331070,168939,162131
2020,Sinop,216460,107689,108771
2020,Sivas,635889,318771,317118
2020,Şanlıurfa,2115256,1066402,1048854
2020,Şırnak,537762,279486,258276
2020,Tekirdağ,1081065,552587,528478
2020,Tokat,597861,297311,300550
2020,Trabzon,811901,402224,409677
2020,Tunceli,83443,44815,38628
2020,Uşak,369433,184225,185208
2020,Van,1149342,585854,563488
2020,Yalova,276050,138860,137190
2020,Yozgat,419095,209257,209838
2020,Zonguldak,591204,293068,298136
2019,Adana,2237940,1117032,1120908
2019,Adıyaman,626465,316112,310353
2019,Afyonkarahisar,729483,362447,367036
2019,Ağrı,536199,277887,258312
2019,Aksaray,416367,207390,208977
2019,Amasya,337800,170407,167393
2019,Ankara,5639076,2793850,2845226
2019,Antalya,2511700,1265171,1246529
2019,Ardahan,97319,50697,46622
2019,Artvin,170875,85975,84900
2019,Aydın,1110972,552626,558346
2019,Balıkesir,1228620,613474,615146
2019,Bartın,198249,97908,100341
2019,Batman,608659,306261,302398
2019,Bayburt,84843,43006,41837
2019,Bilecik,219427,112027,107400
2019,Bingöl,279812,141818,137994
2019,Bitlis,348115,179823,168292
2019,Bolu,316126,156777,159349
2019,Burdur,270796,136377,134419
2019,Bursa,3056120,1530956,1525164
2019,Çanakkale,542157,272097,270060
2019,Çankırı,195789,98683,97106
2019,Çorum,530864,263354,267510
2019,Denizli,1037208,517716,519492
2019,Diyarbakır,1756353,886190,870163
2019,Düzce,392166,196494,195672
2019,Edirne,413903,210304,203599
2019,Elazığ,591098,293415,297683
2019,Erzincan,234747,119906,114841
2019,Erzurum,762062,379893,382169
2019,Eskişehir,887475,443635,443840
2019,Gaziantep,2069364,1044799,1024565
2019,Giresun,448400,223422,224978
2019,Gümüşhane,164521,83196,81325
2019,Hakkari,280991,151143,129848
2019,Hatay,1628894,817998,810896
2019,Iğdır,199442,102417,97025
2019,Isparta,444914,221316,223598
2019,İstanbul,15519267,7790256,7729011
2019,İzmir,4367251,2174319,2192932
2019,Kahramanmaraş,1154102,586616,567486
2019,Karabük,248458,124291,124167
2019,Karaman,253279,126648,126631
2019,Kars,285410,146668,138742
2019,Kastamonu,379405,189247,190158
2019,Kayseri,1407409,705545,701864
2019,Kırıkkale,283017,141865,141152
2019,Kırklareli,361836,185070,176766
2019,Kırşehir,242938,120557,122381
2019,Kilis,142490,72520,69970
2019,Kocaeli,1953035,988098,964937
2019,Konya,2232374,1108968,1123406
2019,Kütahya,579257,285020,294237
2019,Malatya,800165,398249,401916
2019,Manisa,1440611,725238,715373
2019,Mardin,838778,420923,417855
2019,Mersin,1840425,919594,920831
2019,Muğla,983142,500602,482540
2019,Muş,408809,208534,200275
2019,Nevşehir,303010,150047,152963
2019,Niğde,362861,182177,180684
2019,Ordu,754198,376933,377265
2019,Osmaniye,538759,272242,266517
2019,Rize,343212,171571,171641
2019,Sakarya,1029650,516000,513650
2019,Samsun,1348542,669055,679487
2019,Siirt,330280,169211,161069
2019,Sinop,218243,108927,109316
2019,Sivas,638956,319624,319332
2019,Şanlıurfa,2073614,1045964,1027650
2019,Şırnak,529615,277728,251887
2019,Tekirdağ,1055412,542646,512766
2019,Tokat,612747,304938,307809
2019,Trabzon,808974,400723,408251
2019,Tunceli,84660,46082,38578
2019,Uşak,370509,184529,185980
2019,Van,1136757,578044,558713
2019,Yalova,270976,135909,135067
2019,Yozgat,421200,210127,211073
2019,Zonguldak,596053,295832,300221
2018,Adana,2220125,1106811,1113314
2018,Adıyaman,624513,314998,309515
2018,Afyonkarahisar,725568,360152,365416
2018,Ağrı,539657,280923,258734
2018,Aksaray,412172,204792,207380
2018,Amasya,337508,169920,167588
2018,Ankara,5503985,2728900,2775085
2018,Antalya,2426356,1222086,1204270
2018,Ardahan,98907,51593,47314
2018,Artvin,174010,87715,86295
2018,Aydın,1097746,546092,551654
2018,Balıkesir,1226575,612738,613837
2018,Bartın,198999,98913,100086
2018,Batman,599103,301413,297690
2018,Bayburt,82274,41377,40897
2018,Bilecik,223448,116923,106525
2018,Bingöl,281205,143524,137681
2018,Bitlis,349396,181970,167426
2018,Bolu,311810,154711,157099
2018,Burdur,269926,135240,134686
2018,Bursa,2994521,1498219,1496302
2018,Çanakkale,540662,273092,267570
2018,Çankırı,216362,109512,106850
2018,Çorum,536483,265678,270805
2018,Denizli,1027782,512109,515673
2018,Diyarbakır,1732396,875468,856928
2018,Düzce,387844,194051,193793
2018,Edirne,411528,209390,202138
2018,Elazığ,595638,296641,298997
2018,Erzincan,236034,120348,115686
2018,Erzurum,767848,383435,384413
2018,Eskişehir,871187,434112,437075
2018,Gaziantep,2028563,1023716,1004847
2018,Giresun,453912,226067,227845
2018,Gümüşhane,162748,82468,80280
2018,Hakkari,286470,157107,129363
2018,Hatay,1609856,809484,800372
2018,Iğdır,197456,102171,95285
2018,Isparta,441412,219681,221731
2018,İstanbul,15067724,7542231,7525493
2018,İzmir,4320519,2152585,2167934
2018,Kahramanmaraş,1144851,580410,564441
2018,Karabük,248014,124596,123418
2018,Karaman,251913,125992,125921
2018,Kars,288878,149510,139368
2018,Kastamonu,383373,191431,191942
2018,Kayseri,1389680,696658,693022
2018,Kırıkkale,286602,143305,143297
2018,Kırklareli,360860,185181,175679
2018,Kırşehir,241868,120278,121590
2018,Kilis,142541,72841,69700
2018,Kocaeli,1906391,963326,943065
2018,Konya,2205609,1094441,1111168
2018,Kütahya,577941,284675,293266
2018,Malatya,797036,396877,400159
2018,Manisa,1429643,720337,709306
2018,Mardin,829195,417000,412195
2018,Mersin,1814468,905520,908948
2018,Muğla,967487,493140,474347
2018,Muş,407992,208431,199561
2018,Nevşehir,298339,147438,150901
2018,Niğde,364707,183109,181598
2018,Ordu,771932,386547,385385
2018,Osmaniye,534415,269875,264540
2018,Rize,348608,174130,174478
2018,Sakarya,1010700,505645,505055
2018,Samsun,1335716,662086,673630
2018,Siirt,331670,171189,160481
2018,Sinop,219733,109296,110437
